iter	Passed	Remaining
476	646	709
477	647	707
478	648	705
479	649	703
480	650	701
481	651	699
482	652	698
483	653	697
484	654	695
485	655	693
486	656	691
487	657	690
488	658	688
489	659	686
490	660	684
491	661	682
492	662	680
493	662	679
494	663	677
495	664	675
496	665	673
497	666	672
498	668	671
499	669	669
500	670	667
501	671	665
502	672	664
503	672	662
504	673	660
505	674	658
506	675	656
507	676	655
508	677	653
509	678	651
510	679	649
511	680	648
512	681	646
513	682	645
514	683	643
515	684	641
516	685	640
517	685	638
518	686	636
519	687	634
520	688	633
521	689	631
522	690	629
523	691	628
524	692	626
525	693	624
526	694	622
527	694	621
528	695	619
529	697	618
530	698	616
531	699	614
532	699	613
533	700	611
534	701	609
535	702	608
536	703	606
537	704	604
538	705	603
539	706	601
540	707	600
541	708	598
542	709	596
543	710	595
544	711	593
545	712	592
546	713	591
547	714	589
548	715	588
549	716	586
550	717	584
551	718	583
552	719	581
553	720	580
554	721	578
555	722	576
556	723	575
557	724	573
558	725	572
559	726	570
560	727	569
561	728	567
562	729	566
563	730	564
564	731	562
565	731	561
566	732	559
567	733	558
568	734	556
569	735	554
570	736	553
571	737	551
572	738	550
573	739	548
574	740	547
575	741	545
576	742	544
577	743	542
578	744	541
579	745	539
580	746	538
581	747	536
582	748	535
583	748	533
584	749	531
585	750	530
586	751	528
587	752	527
588	753	525
589	754	524
590	755	522
591	756	521
592	757	520
593	758	518
594	759	516
595	760	515
596	761	513
597	762	512
598	762	510
599	763	509
600	764	507
601	765	506
602	766	504
603	767	503
604	768	501
605	769	500
606	770	498
607	771	497
608	772	496
609	773	494
610	774	493
611	775	491
612	776	490
613	777	488
614	778	487
615	779	485
616	780	484
617	781	482
618	782	481
619	782	479
620	783	478
621	784	476
622	785	475
623	789	475
624	789	473
625	790	472
626	791	470
627	792	469
628	793	468
629	794	466
630	795	465
631	796	463
632	796	462
633	797	460
634	798	459
635	799	457
636	800	456
637	801	455
638	803	453
639	803	452
640	804	450
641	805	449
642	806	447
643	807	446
644	808	445
645	809	443
646	810	442
647	811	440
648	812	439
649	812	437
650	813	436
651	814	434
652	816	433
653	817	432
654	818	431
655	819	429
656	820	428
657	821	426
658	822	425
659	823	424
660	823	422
661	824	421
662	825	419
663	826	418
664	827	416
665	828	415
666	829	414
667	830	412
668	831	411
669	832	410
670	833	408
671	834	407
672	835	405
673	836	404
674	837	403
675	838	401
676	838	400
677	839	398
678	840	397
679	841	396
680	842	394
681	843	393
682	844	391
683	845	390
684	847	389
685	848	388
686	849	386
687	849	385
688	850	383
689	851	382
690	852	381
691	853	379
692	854	378
693	854	376
694	855	375
695	856	374
696	857	372
697	858	371
698	859	370
699	860	368
700	861	367
701	862	366
702	863	364
703	864	363
704	865	362
705	866	360
706	866	359
707	867	357
708	868	356
709	869	355
710	870	353
711	871	352
712	872	351
713	873	349
714	873	348
715	875	347
716	876	345
717	877	344
718	878	343
719	879	341
720	880	340
721	880	339
722	881	337
723	882	336
724	883	335
725	884	333
726	885	332
727	886	331
728	887	329
729	888	328
730	889	327
731	890	326
732	891	324
733	892	323
734	893	322
735	894	320
736	895	319
737	896	318
738	897	316
739	897	315
740	898	314
741	899	312
742	901	311
743	902	310
744	903	309
745	905	308
746	906	307
747	907	305
748	908	304
749	909	303
750	910	301
751	911	300
752	912	299
753	913	297
754	914	296
755	915	295
756	915	293
757	916	292
758	917	291
759	918	290
760	919	288
761	920	287
762	921	286
763	922	285
764	923	283
765	924	282
766	925	281
767	926	279
768	927	278
769	928	277
770	929	275
771	930	274
772	931	273
773	932	272
774	933	270
775	934	269
776	935	268
777	936	267
778	937	266
779	938	264
780	939	263
781	940	262
782	941	261
783	942	259
784	943	258
785	944	257
786	945	255
787	946	254
788	947	253
789	948	252
790	950	251
791	951	249
792	952	248
793	953	247
794	954	246
795	955	244
796	955	243
797	956	242
798	957	240
799	958	239
800	959	238
801	960	237
802	961	235
803	962	234
804	963	233
805	965	232
806	966	231
807	967	229
808	967	228
809	969	227
810	969	226
811	970	224
812	971	223
813	972	222
814	973	220
815	974	219
816	975	218
817	976	217
818	977	215
819	977	214
820	979	213
821	980	212
822	981	211
823	982	209
824	983	208
825	984	207
826	985	206
827	986	204
828	986	203
829	987	202
830	988	201
831	989	199
832	990	198
833	991	197
834	992	196
835	993	194
836	995	193
837	996	192
838	997	191
839	998	190
840	999	188
841	999	187
842	1000	186
843	1001	185
844	1002	183
845	1003	182
846	1004	181
847	1005	180
848	1005	178
849	1006	177
850	1007	176
851	1009	175
852	1010	174
853	1011	172
854	1012	171
855	1012	170
856	1013	169
857	1014	167
858	1015	166
859	1016	165
860	1017	164
861	1018	163
862	1019	161
863	1021	160
864	1022	159
865	1023	158
866	1025	157
867	1026	156
868	1027	154
869	1028	153
870	1029	152
871	1030	151
872	1031	150
873	1032	148
874	1033	147
875	1034	146
876	1035	145
877	1036	144
878	1037	142
879	1039	141
880	1040	140
881	1041	139
882	1042	138
883	1043	136
884	1044	135
885	1045	134
886	1047	133
887	1048	132
888	1049	131
889	1050	129
890	1051	128
891	1054	127
892	1055	126
893	1056	125
894	1057	124
895	1058	122
896	1059	121
897	1061	120
898	1062	119
899	1063	118
900	1064	116
901	1065	115
902	1067	114
903	1068	113
904	1069	112
905	1071	111
906	1072	109
907	1073	108
908	1074	107
909	1075	106
910	1076	105
911	1077	103
912	1078	102
913	1080	101
914	1081	100
915	1082	99
916	1084	98
917	1085	96
918	1086	95
919	1087	94
920	1088	93
921	1089	92
922	1090	90
923	1091	89
924	1092	88
925	1093	87
926	1094	86
927	1095	84
928	1096	83
929	1098	82
930	1099	81
931	1100	80
932	1101	79
933	1102	77
934	1103	76
935	1104	75
936	1105	74
937	1106	73
938	1107	71
939	1108	70
940	1108	69
941	1109	68
942	1110	67
943	1112	66
944	1114	64
945	1114	63
946	1115	62
947	1116	61
948	1117	60
949	1118	58
950	1119	57
951	1120	56
952	1121	55
953	1122	54
954	1123	52
955	1124	51
956	1125	50
957	1126	49
958	1127	48
959	1128	47
960	1129	45
961	1130	44
962	1131	43
963	1132	42
964	1133	41
965	1134	39
966	1135	38
967	1136	37
968	1137	36
969	1138	35
970	1139	34
971	1139	32
972	1140	31
973	1142	30
974	1143	29
975	1144	28
976	1145	26
977	1146	25
978	1146	24
979	1147	23
980	1148	22
981	1149	21
982	1150	19
983	1151	18
984	1152	17
985	1153	16
986	1154	15
987	1155	14
988	1156	12
989	1157	11
990	1158	10
991	1159	9
992	1160	8
993	1161	7
994	1162	5
995	1163	4
996	1164	3
997	1165	2
998	1165	1
999	1166	0
